Temperature - (Celsius), Year, Statistics, Country, ISO3
22.0271, 1991, Jan Average, Ethiopia, ETH
23.2355, 1991, Feb Average, Ethiopia, ETH
23.6605, 1991, Mar Average, Ethiopia, ETH
24.614, 1991, Apr Average, Ethiopia, ETH
24.0312, 1991, May Average, Ethiopia, ETH
23.9485, 1991, Jun Average, Ethiopia, ETH
22.9172, 1991, Jul Average, Ethiopia, ETH
22.6798, 1991, Aug Average, Ethiopia, ETH
23.0679, 1991, Sep Average, Ethiopia, ETH
22.3466, 1991, Oct Average, Ethiopia, ETH
21.2814, 1991, Nov Average, Ethiopia, ETH
20.8477, 1991, Dec Average, Ethiopia, ETH
20.357, 1992, Jan Average, Ethiopia, ETH
21.4054, 1992, Feb Average, Ethiopia, ETH
23.8182, 1992, Mar Average, Ethiopia, ETH
24.6902, 1992, Apr Average, Ethiopia, ETH
24.5882, 1992, May Average, Ethiopia, ETH
24.0427, 1992, Jun Average, Ethiopia, ETH
22.905, 1992, Jul Average, Ethiopia, ETH
22.2173, 1992, Aug Average, Ethiopia, ETH
22.4688, 1992, Sep Average, Ethiopia, ETH
22.2669, 1992, Oct Average, Ethiopia, ETH
21.2149, 1992, Nov Average, Ethiopia, ETH
20.902, 1992, Dec Average, Ethiopia, ETH
21.1798, 1993, Jan Average, Ethiopia, ETH
21.6161, 1993, Feb Average, Ethiopia, ETH
23.8453, 1993, Mar Average, Ethiopia, ETH
23.7212, 1993, Apr Average, Ethiopia, ETH
23.6791, 1993, May Average, Ethiopia, ETH
23.6219, 1993, Jun Average, Ethiopia, ETH
22.804, 1993, Jul Average, Ethiopia, ETH
22.6346, 1993, Aug Average, Ethiopia, ETH
22.9787, 1993, Sep Average, Ethiopia, ETH
22.2751, 1993, Oct Average, Ethiopia, ETH
22.2209, 1993, Nov Average, Ethiopia, ETH
20.0173, 1993, Dec Average, Ethiopia, ETH
21.35, 1994, Jan Average, Ethiopia, ETH
22.5976, 1994, Feb Average, Ethiopia, ETH
23.376, 1994, Mar Average, Ethiopia, ETH
24.7981, 1994, Apr Average, Ethiopia, ETH
24.213, 1994, May Average, Ethiopia, ETH
24.003, 1994, Jun Average, Ethiopia, ETH
22.6822, 1994, Jul Average, Ethiopia, ETH
22.4667, 1994, Aug Average, Ethiopia, ETH
22.4285, 1994, Sep Average, Ethiopia, ETH
22.0774, 1994, Oct Average, Ethiopia, ETH
21.1456, 1994, Nov Average, Ethiopia, ETH
20.8634, 1994, Dec Average, Ethiopia, ETH
